WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
Sequential_Random,Unalignedto4K,Alignedto4K,NoPowerCycle
Overlapped,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
Random,SingleSector,Unalignedto4K,Frequent_25Commands
Sequential,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Overlapped,DiePageAligned,Alignedto4K,InFrequent_75Commands
Sequential_Random,DiePageAligned,Alignedto4K,NoPowerCycle
Sequential,Alignedto4K,Unalignedto4K,Frequent_25Commands
Random,SingleSector,AlignedtoDiePage,NoPowerCycle
Sequential,SingleSector,Alignedto4K,InFrequent_75Commands
Overlapped,DiePageAligned,AlignedtoDiePage,NoPowerCycle
Overlapped,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Overlapped,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Sequential_Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
Sequential_Random,SingleSector,Unalignedto4K,InFrequent_75Commands
Sequential_Random,SingleSector,Alignedto4K,InFrequent_75Commands
Random,SingleSector,Alignedto4K,InFrequent_75Commands
Sequential_Random,SingleSector,AlignedtoDiePage,NoPowerCycle
Overlapped,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
Overlapped,DiePageAligned,Alignedto4K,InFrequent_75Commands
Sequential_Random,Alignedto4K,Unalignedto4K,NoPowerCycle
Overlapped,Alignedto4K,Alignedto4K,InFrequent_75Commands
Random,Unalignedto4K,Unalignedto4K,Frequent_25Commands
Overlapped,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,SingleSector,Alignedto4K,InFrequent_75Commands
Sequential,DiePageAligned,Alignedto4K,Frequent_25Commands
Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
Random,Alignedto4K,Unalignedto4K,NoPowerCycle
Random,Alignedto4K,Alignedto4K,NoPowerCycle
Sequential_Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
Sequential,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,SingleSector,AlignedtoDiePage,NoPowerCycle
Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
Sequential_Random,DiePageAligned,Unalignedto4K,NoPowerCycle
Sequential_Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
Overlapped,DiePageAligned,Unalignedto4K,Frequent_25Commands
Random,SingleSector,Alignedto4K,InFrequent_75Commands
Random,Alignedto4K,Alignedto4K,NoPowerCycle
Overlapped,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
Sequential,Unalignedto4K,Unalignedto4K,Frequent_25Commands
Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
Overlapped,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
Overlapped,DiePageAligned,Unalignedto4K,InFrequent_75Commands
Overlapped,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Sequential,Alignedto4K,Unalignedto4K,InFrequent_75Commands
Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Sequential,SingleSector,Unalignedto4K,Frequent_25Commands
Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,Unalignedto4K,Unalignedto4K,Frequent_25Commands
Sequential_Random,Alignedto4K,Unalignedto4K,NoPowerCycle
Random,Alignedto4K,Alignedto4K,Frequent_25Commands
Sequential,DiePageAligned,Alignedto4K,InFrequent_75Commands
Sequential_Random,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Overlapped,DiePageAligned,Alignedto4K,InFrequent_75Commands
Sequential,SingleSector,AlignedtoDiePage,InFrequent_75Commands
Sequential,SingleSector,Unalignedto4K,Frequent_25Commands
Overlapped,Alignedto4K,Alignedto4K,NoPowerCycle
Sequential_Random,SingleSector,Unalignedto4K,InFrequent_75Commands
Sequential_Random,Unalignedto4K,Unalignedto4K,Frequent_25Commands
Overlapped,Unalignedto4K,Unalignedto4K,Frequent_25Commands
Sequential,SingleSector,Alignedto4K,Frequent_25Commands
Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
Sequential,Alignedto4K,Unalignedto4K,InFrequent_75Commands
Sequential_Random,Alignedto4K,Unalignedto4K,InFrequent_75Commands
Sequential_Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
Random,SingleSector,Alignedto4K,NoPowerCycle
Overlapped,Unalignedto4K,Unalignedto4K,Frequent_25Commands
Overlapped,DiePageAligned,Alignedto4K,NoPowerCycle
Random,DiePageAligned,Alignedto4K,InFrequent_75Commands
Sequential,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
Sequential,SingleSector,Alignedto4K,Frequent_25Commands
Overlapped,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential,SingleSector,Unalignedto4K,NoPowerCycle
Random,SingleSector,Unalignedto4K,Frequent_25Commands
Overlapped,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
Overlapped,Unalignedto4K,Unalignedto4K,Frequent_25Commands
Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
Sequential,SingleSector,Alignedto4K,NoPowerCycle
Random,Alignedto4K,Alignedto4K,Frequent_25Commands
Sequential,SingleSector,Alignedto4K,Frequent_25Commands
Random,Unalignedto4K,Alignedto4K,NoPowerCycle
Sequential_Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Overlapped,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Sequential,SingleSector,Alignedto4K,NoPowerCycle
Overlapped,Alignedto4K,Unalignedto4K,Frequent_25Commands
Overlapped,Alignedto4K,Alignedto4K,NoPowerCycle
Random,SingleSector,Alignedto4K,InFrequent_75Commands
Sequential_Random,SingleSector,Unalignedto4K,NoPowerCycle
Overlapped,DiePageAligned,Unalignedto4K,NoPowerCycle
Random,SingleSector,Unalignedto4K,Frequent_25Commands
Overlapped,Unalignedto4K,Unalignedto4K,NoPowerCycle
Overlapped,Unalignedto4K,Unalignedto4K,Frequent_25Commands
Overlapped,Unalignedto4K,Unalignedto4K,NoPowerCycle
Overlapped,Alignedto4K,Unalignedto4K,Frequent_25Commands
Sequential_Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,Alignedto4K,Alignedto4K,Frequent_25Commands
Overlapped,Unalignedto4K,Alignedto4K,NoPowerCycle
Sequential,Unalignedto4K,Alignedto4K,Frequent_25Commands
Sequential,Unalignedto4K,Alignedto4K,Frequent_25Commands
Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
Sequential_Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
Sequential,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,DiePageAligned,AlignedtoDiePage,NoPowerCycle
Overlapped,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,Alignedto4K,Alignedto4K,NoPowerCycle
Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Sequential,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Random,SingleSector,Alignedto4K,NoPowerCycle
Sequential,SingleSector,Unalignedto4K,InFrequent_75Commands
Sequential_Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
Sequential,SingleSector,Alignedto4K,InFrequent_75Commands
Overlapped,Unalignedto4K,Alignedto4K,NoPowerCycle
Sequential_Random,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
Sequential_Random,Unalignedto4K,Alignedto4K,Frequent_25Commands
Random,Alignedto4K,Unalignedto4K,NoPowerCycle
Sequential_Random,DiePageAligned,Alignedto4K,Frequent_25Commands
Sequential,SingleSector,AlignedtoDiePage,Frequent_25Commands
Overlapped,DiePageAligned,Alignedto4K,InFrequent_75Commands
Overlapped,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
Random,DiePageAligned,Unalignedto4K,NoPowerCycle
Sequential,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
Sequential_Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
Random,DiePageAligned,Unalignedto4K,NoPowerCycle
Random,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Random,DiePageAligned,Unalignedto4K,NoPowerCycle
Sequential_Random,SingleSector,AlignedtoDiePage,NoPowerCycle
Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
Overlapped,DiePageAligned,Alignedto4K,Frequent_25Commands
Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
Random,SingleSector,Alignedto4K,Frequent_25Commands
Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Overlapped,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
Sequential_Random,Unalignedto4K,Alignedto4K,NoPowerCycle
Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
Random,DiePageAligned,AlignedtoDiePage,NoPowerCycle
Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
Random,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
Random,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Sequential_Random,DiePageAligned,Alignedto4K,Frequent_25Commands
Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
Random,DiePageAligned,Unalignedto4K,InFrequent_75Commands
Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Sequential,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,DiePageAligned,Unalignedto4K,NoPowerCycle
Sequential_Random,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Sequential_Random,SingleSector,Alignedto4K,NoPowerCycle
Overlapped,Alignedto4K,Unalignedto4K,InFrequent_75Commands
Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
Sequential_Random,Alignedto4K,Unalignedto4K,InFrequent_75Commands
Sequential,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
Random,DiePageAligned,Alignedto4K,Frequent_25Commands
Sequential,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
Overlapped,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
Random,SingleSector,AlignedtoDiePage,NoPowerCycle
Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
Sequential,DiePageAligned,Unalignedto4K,InFrequent_75Commands
Sequential,DiePageAligned,Alignedto4K,InFrequent_75Commands
Overlapped,DiePageAligned,Alignedto4K,NoPowerCycle
Overlapped,Unalignedto4K,Unalignedto4K,Frequent_25Commands
Sequential,SingleSector,Unalignedto4K,InFrequent_75Commands
Random,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Random,Alignedto4K,Unalignedto4K,InFrequent_75Commands
Random,SingleSector,Alignedto4K,InFrequent_75Commands
Sequential_Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
Overlapped,Alignedto4K,Alignedto4K,Frequent_25Commands
Random,SingleSector,AlignedtoDiePage,NoPowerCycle
Sequential_Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
Sequential,SingleSector,Alignedto4K,Frequent_25Commands
Sequential,DiePageAligned,Unalignedto4K,InFrequent_75Commands
Sequential,DiePageAligned,Unalignedto4K,InFrequent_75Commands
Overlapped,Unalignedto4K,Unalignedto4K,NoPowerCycle
Sequential,Unalignedto4K,Alignedto4K,InFrequent_75Commands
Random,Unalignedto4K,Alignedto4K,Frequent_25Commands
Sequential_Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,Alignedto4K,Alignedto4K,Frequent_25Commands
Sequential,DiePageAligned,Unalignedto4K,Frequent_25Commands
Overlapped,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Random,DiePageAligned,Unalignedto4K,NoPowerCycle
Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
Sequential_Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
Random,SingleSector,Unalignedto4K,NoPowerCycle
Sequential,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Overlapped,Unalignedto4K,Alignedto4K,NoPowerCycle
Overlapped,Alignedto4K,Alignedto4K,InFrequent_75Commands
Random,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
Sequential_Random,DiePageAligned,Alignedto4K,NoPowerCycle
Sequential_Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
Sequential,DiePageAligned,Alignedto4K,InFrequent_75Commands
Random,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
Overlapped,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
Sequential_Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
Sequential,SingleSector,Alignedto4K,Frequent_25Commands
Sequential,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
Overlapped,DiePageAligned,Alignedto4K,InFrequent_75Commands
Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
Overlapped,Unalignedto4K,Alignedto4K,InFrequent_75Commands
Sequential_Random,DiePageAligned,Alignedto4K,NoPowerCycle
Sequential,DiePageAligned,Alignedto4K,Frequent_25Commands
Sequential,Unalignedto4K,Alignedto4K,Frequent_25Commands
Overlapped,DiePageAligned,AlignedtoDiePage,NoPowerCycle
Sequential_Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
Random,SingleSector,Unalignedto4K,NoPowerCycle
Sequential_Random,SingleSector,Unalignedto4K,InFrequent_75Commands
Sequential_Random,DiePageAligned,Alignedto4K,NoPowerCycle
Overlapped,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Random,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
Overlapped,DiePageAligned,Alignedto4K,Frequent_25Commands
Sequential_Random,SingleSector,Unalignedto4K,Frequent_25Commands
Sequential_Random,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
Random,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
Overlapped,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
Sequential,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
Sequential,Alignedto4K,Unalignedto4K,Frequent_25Commands
Sequential_Random,Unalignedto4K,Alignedto4K,NoPowerCycle
Overlapped,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
Sequential,SingleSector,AlignedtoDiePage,InFrequent_75Commands
Overlapped,DiePageAligned,AlignedtoDiePage,NoPowerCycle
Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
Overlapped,DiePageAligned,AlignedtoDiePage,NoPowerCycle
Overlapped,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential,DiePageAligned,Unalignedto4K,InFrequent_75Commands
Overlapped,Alignedto4K,Unalignedto4K,InFrequent_75Commands
Random,Alignedto4K,Alignedto4K,Frequent_25Commands
Random,SingleSector,Unalignedto4K,InFrequent_75Commands
Sequential_Random,SingleSector,AlignedtoDiePage,NoPowerCycle
Random,DiePageAligned,Unalignedto4K,InFrequent_75Commands
Overlapped,Alignedto4K,Unalignedto4K,Frequent_25Commands
Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
Sequential_Random,Alignedto4K,Alignedto4K,Frequent_25Commands
Sequential_Random,Alignedto4K,Unalignedto4K,NoPowerCycle
Random,DiePageAligned,Unalignedto4K,InFrequent_75Commands
Sequential_Random,Unalignedto4K,Alignedto4K,Frequent_25Commands
Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,Alignedto4K,Alignedto4K,Frequent_25Commands
Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
Sequential_Random,DiePageAligned,Unalignedto4K,NoPowerCycle
Random,Unalignedto4K,Alignedto4K,InFrequent_75Commands
Random,Alignedto4K,Alignedto4K,Frequent_25Commands
Random,DiePageAligned,AlignedtoDiePage,NoPowerCycle
Random,Alignedto4K,Alignedto4K,NoPowerCycle
Overlapped,Alignedto4K,Unalignedto4K,Frequent_25Commands
Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
Sequential_Random,SingleSector,Alignedto4K,Frequent_25Commands
Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
Sequential_Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
Sequential,DiePageAligned,Unalignedto4K,Frequent_25Commands
Overlapped,Alignedto4K,Alignedto4K,InFrequent_75Commands
Random,SingleSector,Alignedto4K,NoPowerCycle
Sequential,SingleSector,Alignedto4K,Frequent_25Commands
Sequential_Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential,DiePageAligned,Alignedto4K,Frequent_25Commands
Sequential_Random,DiePageAligned,AlignedtoDiePage,NoPowerCycle
Sequential_Random,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,Unalignedto4K,Unalignedto4K,Frequent_25Commands
Sequential,Unalignedto4K,Alignedto4K,InFrequent_75Commands
Sequential,Unalignedto4K,Alignedto4K,InFrequent_75Commands
Sequential_Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
Sequential_Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
Overlapped,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
Overlapped,Unalignedto4K,Alignedto4K,Frequent_25Commands
Overlapped,Alignedto4K,Unalignedto4K,Frequent_25Commands
Sequential,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
Random,DiePageAligned,Unalignedto4K,InFrequent_75Commands
Overlapped,Alignedto4K,Unalignedto4K,Frequent_25Commands
Random,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Overlapped,Unalignedto4K,Alignedto4K,NoPowerCycle
Sequential_Random,SingleSector,Unalignedto4K,Frequent_25Commands
Sequential,SingleSector,Alignedto4K,InFrequent_75Commands
Overlapped,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
Random,DiePageAligned,Unalignedto4K,NoPowerCycle
Overlapped,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Overlapped,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
Overlapped,DiePageAligned,Unalignedto4K,NoPowerCycle
Sequential,SingleSector,AlignedtoDiePage,InFrequent_75Commands
Overlapped,Unalignedto4K,Alignedto4K,InFrequent_75Commands
Sequential_Random,SingleSector,Alignedto4K,Frequent_25Commands
Sequential_Random,DiePageAligned,Alignedto4K,NoPowerCycle
Sequential,DiePageAligned,Alignedto4K,InFrequent_75Commands
Overlapped,DiePageAligned,Alignedto4K,InFrequent_75Commands
Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
Overlapped,Alignedto4K,Alignedto4K,NoPowerCycle
Sequential,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,SingleSector,Unalignedto4K,InFrequent_75Commands
Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
Sequential,SingleSector,Unalignedto4K,NoPowerCycle
Sequential_Random,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
Sequential_Random,Alignedto4K,Unalignedto4K,NoPowerCycle
