ErrorType,ErrorPhase,BlockState,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
WriteAbort,DuringWriteToMIPBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,HostSLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToMIPBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringWriteToFSBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
WriteAbort,HostSLC,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,DuringTLCtoTLCRelocation,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringWriteToFSBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToMIPBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringTLCtoTLCRelocation,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToBOOTBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringTLCtoTLCRelocation,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToGATBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
WriteAbort,DuringSLCtoTLCRelocation,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringSLCtoTLCRelocation,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
WriteAbort,HostSLC,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToMIPBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringWriteToBOOTBlock,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringSLCtoTLCRelocation,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
WriteAbort,DuringTLCtoTLCRelocation,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToBOOTBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,DuringSLCtoTLCRelocation,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,DuringSLCtoTLCRelocation,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
WriteAbort,HostSLC,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToFSBlock,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
WriteAbort,DuringSLCtoTLCRelocation,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToGATBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,HostSLC,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToGATBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,HostSLC,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,DuringTLCtoTLCRelocation,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
WriteAbort,HostSLC,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToFSBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringSLCtoTLCRelocation,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,HostSLC,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToGATBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringSLCtoTLCRelocation,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringWriteToGATBlock,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToGATBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToGATBlock,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToBOOTBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToFSBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToFSBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToFSBlock,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToBOOTBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,HostSLC,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToFSBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringSLCtoTLCRelocation,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToMIPBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToFSBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,DuringTLCtoTLCRelocation,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
WriteAbort,HostSLC,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringWriteToGATBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToGATBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringSLCtoTLCRelocation,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToBOOTBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToMIPBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringSLCtoTLCRelocation,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,DuringSLCtoTLCRelocation,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringWriteToMIPBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
WriteAbort,DuringTLCtoTLCRelocation,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToGATBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,HostSLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
