ErrorType,ErrorPhase,BlockState,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
ProgramFailure,DuringWriteToGATBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToGATBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToFSBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToGATBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToGATBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,DuringTLCtoTLCRelocation,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringTLCtoTLCRelocation,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToFSBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringTLCtoTLCRelocation,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToGATBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToBOOTBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToFSBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToMIPBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringTLCtoTLCRelocation,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToMIPBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToGATBlock,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToBOOTBlock,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringTLCtoTLCRelocation,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToMIPBlock,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToMIPBlock,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToFSBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringTLCtoTLCRelocation,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
ProgramFailure,DuringTLCtoTLCRelocation,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToBOOTBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringTLCtoTLCRelocation,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToMIPBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToMIPBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToMIPBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,DuringTLCtoTLCRelocation,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToFSBlock,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToMIPBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToMIPBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringTLCtoTLCRelocation,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToBOOTBlock,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToBOOTBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToBOOTBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringTLCtoTLCRelocation,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToFSBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToFSBlock,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToFSBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringTLCtoTLCRelocation,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToMIPBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToMIPBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
