ErrorType,ErrorPhase,BlockState,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
UECC,DuringWriteToGATBlock,Closed,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToFSBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
UECC,HostSLC,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
UECC,HostSLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToBOOTBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToGATBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
UECC,HostSLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
UECC,DuringTLCtoTLCRelocation,Closed,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToFSBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
UECC,HostSLC,Closed,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToMIPBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToGATBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToMIPBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToBOOTBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
UECC,DuringSLCtoTLCRelocation,Closed,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToFSBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
UECC,HostTLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToMIPBlock,Closed,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToGATBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
UECC,DuringSLCtoTLCRelocation,Closed,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,DuringTLCtoTLCRelocation,Closed,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
UECC,DuringTLCtoTLCRelocation,Closed,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
UECC,DuringWriteToBOOTBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,HostSLC,Closed,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToGATBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToBOOTBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
UECC,DuringSLCtoTLCRelocation,Closed,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToMIPBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
UECC,HostSLC,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
UECC,DuringWriteToMIPBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
UECC,DuringSLCtoTLCRelocation,Closed,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
